Javadoc coverage metrics,terça, 21 nov. 2023 21:43:07 WET
Method,JLOC
net.sf.freecol.common.model.TileItemContainer.contains(TileItem),6
"net.sf.freecol.common.model.TileItemContainer.copyFrom(TileItemContainer, Layer)",10
net.sf.freecol.common.model.TileItemContainer.copyIn(T),3
net.sf.freecol.common.model.TileItemContainer.disposeResources(),3
net.sf.freecol.common.model.TileItemContainer.findTileItem(Predicate<TileItem>),6
net.sf.freecol.common.model.TileItemContainer.getCompleteImprovements(),6
net.sf.freecol.common.model.TileItemContainer.getCompleteItems(),5
net.sf.freecol.common.model.TileItemContainer.getImprovement(TileImprovementType),7
net.sf.freecol.common.model.TileItemContainer.getImprovements(),6
net.sf.freecol.common.model.TileItemContainer.getImprovements(boolean),7
net.sf.freecol.common.model.TileItemContainer.getLostCityRumour(),6
"net.sf.freecol.common.model.TileItemContainer.getMoveCost(Tile, Tile, int)",10
"net.sf.freecol.common.model.TileItemContainer.getProductionModifiers(GoodsType, UnitType)",7
net.sf.freecol.common.model.TileItemContainer.getResource(),5
net.sf.freecol.common.model.TileItemContainer.getRiver(),6
net.sf.freecol.common.model.TileItemContainer.getRoad(),6
net.sf.freecol.common.model.TileItemContainer.getTile(),5
net.sf.freecol.common.model.TileItemContainer.getTileItems(),5
"net.sf.freecol.common.model.TileItemContainer.getTotalBonusPotential(GoodsType, UnitType, int, boolean)",17
net.sf.freecol.common.model.TileItemContainer.getXMLTagName(),3
net.sf.freecol.common.model.TileItemContainer.hasImprovement(TileImprovementType),8
net.sf.freecol.common.model.TileItemContainer.invalidateCache(),4
net.sf.freecol.common.model.TileItemContainer.readAttributes(FreeColXMLReader),3
net.sf.freecol.common.model.TileItemContainer.readChild(FreeColXMLReader),3
net.sf.freecol.common.model.TileItemContainer.readChildren(FreeColXMLReader),3
net.sf.freecol.common.model.TileItemContainer.removeAll(Class<T>),6
net.sf.freecol.common.model.TileItemContainer.removeIncompatibleImprovements(),5
net.sf.freecol.common.model.TileItemContainer.removeTileItem(T),8
net.sf.freecol.common.model.TileItemContainer.setTileItems(List<TileItem>),5
net.sf.freecol.common.model.TileItemContainer.toString(),3
net.sf.freecol.common.model.TileItemContainer.tryAddTileItem(TileItem),7
net.sf.freecol.common.model.TileItemContainer.writeAttributes(FreeColXMLWriter),3
net.sf.freecol.common.model.TileItemContainer.writeChildren(FreeColXMLWriter),3
"net.sf.freecol.common.model.TileItemContainerTest.getSample(Game, Tile, boolean, boolean, boolean)",0
net.sf.freecol.common.model.TileItemContainerTest.testCopyFromWithEveryThing(),0
"net.sf.freecol.common.model.TileTest.Work.Work(TileType, int, int)",0
"net.sf.freecol.common.model.TileTest.hasBonusFrom(Stream<Modifier>, FreeColSpecObjectType)",0
net.sf.freecol.common.model.TileTest.testColonyImprovements(),0
net.sf.freecol.common.model.TileTest.testConiferForest(),0
net.sf.freecol.common.model.TileTest.testCopy(),0
net.sf.freecol.common.model.TileTest.testDefenceModifiers(),0
net.sf.freecol.common.model.TileTest.testGetBestDisembarkTile(),0
net.sf.freecol.common.model.TileTest.testGetWorkAmount(),0
net.sf.freecol.common.model.TileTest.testImprovements(),0
net.sf.freecol.common.model.TileTest.testIsTileTypeAllowed(),0
net.sf.freecol.common.model.TileTest.testMaximumPotential(),0
net.sf.freecol.common.model.TileTest.testMinerals(),0
net.sf.freecol.common.model.TileTest.testPotential(),0
net.sf.freecol.common.model.TileTest.testPrimarySecondaryGoods(),0
net.sf.freecol.common.model.TileTest.testProductionModifiers(),0
net.sf.freecol.common.model.TileTest.testTileTypeChangeProduction(),0
net.sf.freecol.common.model.TileTest.testZIndex(),0
"net.sf.freecol.common.model.TileType.TileType(String, Specification)",6
"net.sf.freecol.common.model.TileType.TileType(String, boolean)",9
"net.sf.freecol.common.model.TileType.addDisaster(Disaster, int)",6
"net.sf.freecol.common.model.TileType.addResourceType(ResourceType, int)",7
net.sf.freecol.common.model.TileType.canHaveResourceType(ResourceType),6
"net.sf.freecol.common.model.TileType.canProduce(GoodsType, UnitType)",8
net.sf.freecol.common.model.TileType.canSettle(),5
net.sf.freecol.common.model.TileType.copyIn(T),3
net.sf.freecol.common.model.TileType.getAltitude(int),0
net.sf.freecol.common.model.TileType.getAvailableProductionTypes(boolean),7
"net.sf.freecol.common.model.TileType.getAvailableProductionTypes(boolean, String)",11
net.sf.freecol.common.model.TileType.getBasicMoveCost(),5
net.sf.freecol.common.model.TileType.getBasicWorkTurns(),5
net.sf.freecol.common.model.TileType.getDisasterChoices(),5
net.sf.freecol.common.model.TileType.getDisasters(),5
net.sf.freecol.common.model.TileType.getHumidity(int),0
net.sf.freecol.common.model.TileType.getPossibleProduction(boolean),10
"net.sf.freecol.common.model.TileType.getPotentialProduction(GoodsType, UnitType)",9
net.sf.freecol.common.model.TileType.getProductionTypes(),5
net.sf.freecol.common.model.TileType.getResourceTypeValues(),5
net.sf.freecol.common.model.TileType.getResourceTypes(),5
net.sf.freecol.common.model.TileType.getTemperature(int),0
net.sf.freecol.common.model.TileType.getXMLTagName(),3
net.sf.freecol.common.model.TileType.isDirectlyHighSeasConnected(),7
net.sf.freecol.common.model.TileType.isElevation(),5
net.sf.freecol.common.model.TileType.isForested(),5
net.sf.freecol.common.model.TileType.isHighSeasConnected(),6
net.sf.freecol.common.model.TileType.isHills(),4
net.sf.freecol.common.model.TileType.isMountains(),4
net.sf.freecol.common.model.TileType.isWater(),5
net.sf.freecol.common.model.TileType.readAttributes(FreeColXMLReader),3
net.sf.freecol.common.model.TileType.readChild(FreeColXMLReader),3
net.sf.freecol.common.model.TileType.readChildren(FreeColXMLReader),3
"net.sf.freecol.common.model.TileType.setAltitude(int, int)",0
net.sf.freecol.common.model.TileType.setDisasters(List<RandomChoice<Disaster>>),5
"net.sf.freecol.common.model.TileType.setHumidity(int, int)",0
net.sf.freecol.common.model.TileType.setProductionTypes(List<ProductionType>),5
net.sf.freecol.common.model.TileType.setResourceTypes(List<RandomChoice<ResourceType>>),5
"net.sf.freecol.common.model.TileType.setTemperature(int, int)",0
"net.sf.freecol.common.model.TileType.withinRange(RangeType, int)",7
net.sf.freecol.common.model.TileType.writeAttributes(FreeColXMLWriter),3
net.sf.freecol.common.model.TileType.writeChildren(FreeColXMLWriter),3
"net.sf.freecol.common.model.TileTypeChange.TileTypeChange(FreeColXMLReader, Specification)",7
net.sf.freecol.common.model.TileTypeChange.TileTypeChange(Specification),5
net.sf.freecol.common.model.TileTypeChange.copyIn(T),3
net.sf.freecol.common.model.TileTypeChange.equals(Object),3
net.sf.freecol.common.model.TileTypeChange.getFrom(),5
net.sf.freecol.common.model.TileTypeChange.getProduction(),5
net.sf.freecol.common.model.TileTypeChange.getTo(),5
net.sf.freecol.common.model.TileTypeChange.getXMLTagName(),3
net.sf.freecol.common.model.TileTypeChange.hashCode(),3
net.sf.freecol.common.model.TileTypeChange.readAttributes(FreeColXMLReader),3
net.sf.freecol.common.model.TileTypeChange.readChildren(FreeColXMLReader),3
net.sf.freecol.common.model.TileTypeChange.writeAttributes(FreeColXMLWriter),3
net.sf.freecol.common.model.TileTypeChange.writeChildren(FreeColXMLWriter),3
"net.sf.freecol.common.model.TradeItem.TradeItem(Game, FreeColXMLReader)",7
"net.sf.freecol.common.model.TradeItem.TradeItem(Game, String, Player, Player)",8
net.sf.freecol.common.model.TradeItem.copyIn(T),3
net.sf.freecol.common.model.TradeItem.equals(Object),3
net.sf.freecol.common.model.TradeItem.getColony(Game),6
net.sf.freecol.common.model.TradeItem.getDestination(),5
net.sf.freecol.common.model.TradeItem.getGold(),5
net.sf.freecol.common.model.TradeItem.getGoods(),5
net.sf.freecol.common.model.TradeItem.getOther(Player),6
net.sf.freecol.common.model.TradeItem.getSource(),5
net.sf.freecol.common.model.TradeItem.getStance(),5
net.sf.freecol.common.model.TradeItem.getUnit(),5
net.sf.freecol.common.model.TradeItem.getVictim(),5
net.sf.freecol.common.model.TradeItem.hashCode(),3
net.sf.freecol.common.model.TradeItem.isInternable(),3
net.sf.freecol.common.model.TradeItem.readAttributes(FreeColXMLReader),3
net.sf.freecol.common.model.TradeItem.setDestination(Player),5
net.sf.freecol.common.model.TradeItem.setGold(int),5
net.sf.freecol.common.model.TradeItem.setGoods(Goods),5
net.sf.freecol.common.model.TradeItem.setSource(Player),5
net.sf.freecol.common.model.TradeItem.setStance(Stance),5
net.sf.freecol.common.model.TradeItem.setUnit(Unit),5
net.sf.freecol.common.model.TradeItem.writeAttributes(FreeColXMLWriter),3
net.sf.freecol.common.model.TradeLocation.canBeInput(),6
net.sf.freecol.common.model.TradeLocation.getNameAsJlabel(),6
"net.sf.freecol.common.model.TradeRoute.TradeRoute(Game, String)",6
"net.sf.freecol.common.model.TradeRoute.TradeRoute(Game, String, Player)",7
net.sf.freecol.common.model.TradeRoute.addStop(TradeRouteStop),5
"net.sf.freecol.common.model.TradeRoute.checkIntegrity(boolean, LogBuilder)",3
net.sf.freecol.common.model.TradeRoute.clearStops(),3
net.sf.freecol.common.model.TradeRoute.copyIn(T),3
net.sf.freecol.common.model.TradeRoute.getAssignedUnits(),5
net.sf.freecol.common.model.TradeRoute.getIndex(TradeRouteStop),6
net.sf.freecol.common.model.TradeRoute.getName(),3
net.sf.freecol.common.model.TradeRoute.getOwner(),3
net.sf.freecol.common.model.TradeRoute.getStop(int),7
net.sf.freecol.common.model.TradeRoute.getStopCount(),5
net.sf.freecol.common.model.TradeRoute.getStopList(),5
"net.sf.freecol.common.model.TradeRoute.getStopSublist(TradeRouteStop, TradeRouteStop)",8
net.sf.freecol.common.model.TradeRoute.getXMLTagName(),3
net.sf.freecol.common.model.TradeRoute.isSilent(),5
"net.sf.freecol.common.model.TradeRoute.isStopValid(Player, TradeRouteStop)",7
"net.sf.freecol.common.model.TradeRoute.isStopValid(Unit, TradeRouteStop)",7
net.sf.freecol.common.model.TradeRoute.readAttributes(FreeColXMLReader),3
net.sf.freecol.common.model.TradeRoute.readChild(FreeColXMLReader),3
net.sf.freecol.common.model.TradeRoute.readChildren(FreeColXMLReader),3
net.sf.freecol.common.model.TradeRoute.removeMatchingStops(Location),6
net.sf.freecol.common.model.TradeRoute.removeStop(TradeRouteStop),5
net.sf.freecol.common.model.TradeRoute.setName(String),3
net.sf.freecol.common.model.TradeRoute.setOwner(Player),3
net.sf.freecol.common.model.TradeRoute.setSilent(boolean),5
net.sf.freecol.common.model.TradeRoute.toString(),3
net.sf.freecol.common.model.TradeRoute.verify(),6
net.sf.freecol.common.model.TradeRoute.verifyUniqueName(),6
net.sf.freecol.common.model.TradeRoute.writeAttributes(FreeColXMLWriter),3
net.sf.freecol.common.model.TradeRoute.writeChildren(FreeColXMLWriter),3
net.sf.freecol.common.model.TradeRouteStop.TradeRouteStop(Game),5
"net.sf.freecol.common.model.TradeRouteStop.TradeRouteStop(Game, FreeColXMLReader)",7
"net.sf.freecol.common.model.TradeRouteStop.TradeRouteStop(Game, Location)",6
net.sf.freecol.common.model.TradeRouteStop.TradeRouteStop(TradeRouteStop),5
net.sf.freecol.common.model.TradeRouteStop.addCargo(GoodsType),5
net.sf.freecol.common.model.TradeRouteStop.copyIn(T),3
net.sf.freecol.common.model.TradeRouteStop.equals(Object),0
net.sf.freecol.common.model.TradeRouteStop.getAvailableGoodsCount(GoodsType),3
net.sf.freecol.common.model.TradeRouteStop.getCargo(),5
net.sf.freecol.common.model.TradeRouteStop.getCompactCargo(),8
"net.sf.freecol.common.model.TradeRouteStop.getExportAmount(GoodsType, int)",3
"net.sf.freecol.common.model.TradeRouteStop.getImportAmount(GoodsType, int)",3
"net.sf.freecol.common.model.TradeRouteStop.getLabelFor(String, Player)",7
net.sf.freecol.common.model.TradeRouteStop.getLocation(),5
net.sf.freecol.common.model.TradeRouteStop.getLocationName(TradeLocation),3
net.sf.freecol.common.model.TradeRouteStop.getTradeLocation(),5
net.sf.freecol.common.model.TradeRouteStop.getXMLTagName(),3
"net.sf.freecol.common.model.TradeRouteStop.hasWork(Unit, int)",7
net.sf.freecol.common.model.TradeRouteStop.invalidStopLabel(Player),6
net.sf.freecol.common.model.TradeRouteStop.isInternable(),3
net.sf.freecol.common.model.TradeRouteStop.isValid(Player),6
net.sf.freecol.common.model.TradeRouteStop.readAttributes(FreeColXMLReader),3
net.sf.freecol.common.model.TradeRouteStop.readChild(FreeColXMLReader),3
net.sf.freecol.common.model.TradeRouteStop.readChildren(FreeColXMLReader),3
net.sf.freecol.common.model.TradeRouteStop.setCargo(List<GoodsType>),5
net.sf.freecol.common.model.TradeRouteStop.toString(),3
net.sf.freecol.common.model.TradeRouteStop.writeAttributes(FreeColXMLWriter),3
net.sf.freecol.common.model.TradeRouteStop.writeChildren(FreeColXMLWriter),3
net.sf.freecol.common.model.TradeRouteTest.testTradeRoute(),0
net.sf.freecol.common.model.Turn.Turn(int),5
net.sf.freecol.common.model.Turn.equals(Object),3
net.sf.freecol.common.model.Turn.getLabel(),5
net.sf.freecol.common.model.Turn.getNumber(),5
net.sf.freecol.common.model.Turn.getSaveGameSuffix(),5
net.sf.freecol.common.model.Turn.getSeason(),6
net.sf.freecol.common.model.Turn.getSeasonNumber(),5
net.sf.freecol.common.model.Turn.getSeasonYear(),5
net.sf.freecol.common.model.Turn.getStartingYear(),5
net.sf.freecol.common.model.Turn.getTurnLabel(int),6
net.sf.freecol.common.model.Turn.getTurnSeason(int),9
net.sf.freecol.common.model.Turn.getTurnYear(int),8
net.sf.freecol.common.model.Turn.getTurnsText(int),6
net.sf.freecol.common.model.Turn.getYear(),5
net.sf.freecol.common.model.Turn.hashCode(),3
"net.sf.freecol.common.model.Turn.initialize(int, int, int)",8
net.sf.freecol.common.model.Turn.isFirstSeasonTurn(),5
net.sf.freecol.common.model.Turn.isFirstTurn(),5
net.sf.freecol.common.model.Turn.next(),5
net.sf.freecol.common.model.Turn.toString(),3
net.sf.freecol.common.model.Turn.yearToTurn(int),6
"net.sf.freecol.common.model.Turn.yearToTurn(int, int)",9
net.sf.freecol.common.model.TypeCountMap.add(TypeCountMap<T>),0
net.sf.freecol.common.model.TypeCountMap.clear(),0
net.sf.freecol.common.model.TypeCountMap.containsKey(T),0
net.sf.freecol.common.model.TypeCountMap.getCount(T),0
net.sf.freecol.common.model.TypeCountMap.getValues(),0
"net.sf.freecol.common.model.TypeCountMap.incrementCount(T, int)",0
net.sf.freecol.common.model.TypeCountMap.isEmpty(),0
net.sf.freecol.common.model.TypeCountMap.keySet(),0
net.sf.freecol.common.model.TypeCountMap.putAll(TypeCountMap<T>),0
net.sf.freecol.common.model.TypeCountMap.size(),0
net.sf.freecol.common.model.TypeCountMap.toString(),3
net.sf.freecol.common.model.TypeCountMap.values(),0
"net.sf.freecol.common.model.Unit.ClosestSettlementGoalDecider.ClosestSettlementGoalDecider(Tile, boolean)",7
"net.sf.freecol.common.model.Unit.ClosestSettlementGoalDecider.check(Unit, PathNode)",3
net.sf.freecol.common.model.Unit.ClosestSettlementGoalDecider.getGoal(),3
net.sf.freecol.common.model.Unit.ClosestSettlementGoalDecider.hasSubGoals(),3
net.sf.freecol.common.model.Unit.MoveType.MoveType(String),0
"net.sf.freecol.common.model.Unit.MoveType.MoveType(String, boolean)",0
net.sf.freecol.common.model.Unit.MoveType.isAttack(),0
net.sf.freecol.common.model.Unit.MoveType.isLegal(),0
net.sf.freecol.common.model.Unit.MoveType.isProgress(),0
net.sf.freecol.common.model.Unit.MoveType.whyIllegal(),0
net.sf.freecol.common.model.Unit.Unit(Game),5
"net.sf.freecol.common.model.Unit.Unit(Game, String)",8
net.sf.freecol.common.model.Unit.UnitState.getKey(),5
net.sf.freecol.common.model.Unit.add(Locatable),3
net.sf.freecol.common.model.Unit.addFeature(Feature),7
net.sf.freecol.common.model.Unit.allowContact(Settlement),6
net.sf.freecol.common.model.Unit.allowMoveFrom(Tile),7
net.sf.freecol.common.model.Unit.atStop(TradeRouteStop),6
"net.sf.freecol.common.model.Unit.betterDefender(Unit, double, Unit, double)",13
net.sf.freecol.common.model.Unit.canAmbush(Unit),6
net.sf.freecol.common.model.Unit.canAttack(Unit),11
net.sf.freecol.common.model.Unit.canAttackRanged(Tile),0
net.sf.freecol.common.model.Unit.canBeStudent(Unit),7
net.sf.freecol.common.model.Unit.canBuildColony(),7
net.sf.freecol.common.model.Unit.canCaptureEquipment(Role),8
net.sf.freecol.common.model.Unit.canCaptureGoods(),5
net.sf.freecol.common.model.Unit.canCarryGoods(),5
net.sf.freecol.common.model.Unit.canCarryTreasure(),5
net.sf.freecol.common.model.Unit.canCarryUnits(),5
net.sf.freecol.common.model.Unit.canCashInTreasureTrain(),7
net.sf.freecol.common.model.Unit.canCashInTreasureTrain(Location),8
net.sf.freecol.common.model.Unit.canMoveToHighSeas(),6
net.sf.freecol.common.model.Unit.changeExperienceType(GoodsType),5
net.sf.freecol.common.model.Unit.changeHomeIndianSettlement(IndianSettlement),7
net.sf.freecol.common.model.Unit.changeOwner(Player),9
"net.sf.freecol.common.model.Unit.changeRole(Role, int)",6
net.sf.freecol.common.model.Unit.changeRoleCount(int),6
net.sf.freecol.common.model.Unit.changeType(UnitType),8
net.sf.freecol.common.model.Unit.changeWorkType(GoodsType),7
"net.sf.freecol.common.model.Unit.checkIntegrity(boolean, LogBuilder)",3
net.sf.freecol.common.model.Unit.checkSetState(UnitState),8
net.sf.freecol.common.model.Unit.copyIn(T),3
net.sf.freecol.common.model.Unit.couldCarry(Goods),7
net.sf.freecol.common.model.Unit.couldCarry(Unit),7
net.sf.freecol.common.model.Unit.couldMove(),5
net.sf.freecol.common.model.Unit.damageShip(Location),5
net.sf.freecol.common.model.Unit.disposeResources(),5
net.sf.freecol.common.model.Unit.evaluateFor(Player),6
net.sf.freecol.common.model.Unit.findIntermediatePort(Location),9
net.sf.freecol.common.model.Unit.findOurNearestOtherSettlement(),7
net.sf.freecol.common.model.Unit.findOurNearestPort(),8
net.sf.freecol.common.model.Unit.findOurNearestSettlement(),6
"net.sf.freecol.common.model.Unit.findOurNearestSettlement(Tile, boolean, int, boolean)",11
"net.sf.freecol.common.model.Unit.findOurNearestSettlement(boolean, int, boolean)",10
net.sf.freecol.common.model.Unit.findPath(Location),9
"net.sf.freecol.common.model.Unit.findPath(Location, Location)",10
"net.sf.freecol.common.model.Unit.findPath(Location, Location, Unit)",11
"net.sf.freecol.common.model.Unit.findPath(Location, Location, Unit, CostDecider, LogBuilder)",15
"net.sf.freecol.common.model.Unit.findPathToNeighbour(Location, Tile, Unit, CostDecider)",12
net.sf.freecol.common.model.Unit.followingTradeRoute(),7
"net.sf.freecol.common.model.Unit.getAbilities(String, FreeColSpecObjectType, Turn)",3
"net.sf.freecol.common.model.Unit.getAdjacentSettlement(String, Class<T>)",10
net.sf.freecol.common.model.Unit.getApparentOwnerName(),6
net.sf.freecol.common.model.Unit.getAttrition(),5
net.sf.freecol.common.model.Unit.getAutomaticRole(),12
net.sf.freecol.common.model.Unit.getAvailableRoles(List<Role>),8
net.sf.freecol.common.model.Unit.getAvailableRolesList(List<Role>),7
net.sf.freecol.common.model.Unit.getBestEntryTile(Tile),8
net.sf.freecol.common.model.Unit.getBurnProbability(),8
net.sf.freecol.common.model.Unit.getCargoCapacity(),5
net.sf.freecol.common.model.Unit.getCargoSpaceTaken(),5
net.sf.freecol.common.model.Unit.getCarriedUnitById(String),6
net.sf.freecol.common.model.Unit.getCarrier(),5
net.sf.freecol.common.model.Unit.getClassIndex(),3
net.sf.freecol.common.model.Unit.getClosestColony(List<Colony>),7
net.sf.freecol.common.model.Unit.getClosestColony(Stream<Colony>),7
net.sf.freecol.common.model.Unit.getCombatLabel(Tile),6
"net.sf.freecol.common.model.Unit.getCombatModifiers(String, FreeColSpecObjectType, Turn)",13
net.sf.freecol.common.model.Unit.getCompactGoodsList(),5
net.sf.freecol.common.model.Unit.getConsumedGoods(),3
net.sf.freecol.common.model.Unit.getConsumptionModifiers(String),3
net.sf.freecol.common.model.Unit.getConvertProbability(),6
net.sf.freecol.common.model.Unit.getCurrentStop(),5
net.sf.freecol.common.model.Unit.getCurrentStops(),5
net.sf.freecol.common.model.Unit.getDescription(),5
net.sf.freecol.common.model.Unit.getDescription(UnitLabelType),6
net.sf.freecol.common.model.Unit.getDestination(),5
net.sf.freecol.common.model.Unit.getDestinationLabel(),6
net.sf.freecol.common.model.Unit.getDisplayObject(),3
net.sf.freecol.common.model.Unit.getEntryLocation(),6
net.sf.freecol.common.model.Unit.getEthnicity(),9
net.sf.freecol.common.model.Unit.getExperience(),8
net.sf.freecol.common.model.Unit.getExperienceType(),5
net.sf.freecol.common.model.Unit.getFullEntryLocation(),6
net.sf.freecol.common.model.Unit.getGoodsCapacity(),3
"net.sf.freecol.common.model.Unit.getGoodsDifference(Role, int)",8
net.sf.freecol.common.model.Unit.getGoodsInternal(boolean),6
net.sf.freecol.common.model.Unit.getGoodsList(),5
net.sf.freecol.common.model.Unit.getGoodsSpaceTaken(),7
net.sf.freecol.common.model.Unit.getHitPoints(),9
net.sf.freecol.common.model.Unit.getHomeIndianSettlement(),5
net.sf.freecol.common.model.Unit.getInitialMovesLeft(),6
net.sf.freecol.common.model.Unit.getLabel(),5
net.sf.freecol.common.model.Unit.getLabel(UnitLabelType),13
"net.sf.freecol.common.model.Unit.getLandMoveType(Tile, Tile)",8
"net.sf.freecol.common.model.Unit.getLearnMoveType(Tile, Settlement)",7
net.sf.freecol.common.model.Unit.getLineOfSight(),6
net.sf.freecol.common.model.Unit.getLinkTarget(Player),3
net.sf.freecol.common.model.Unit.getLoadableAmount(GoodsType),9
net.sf.freecol.common.model.Unit.getLocation(),5
"net.sf.freecol.common.model.Unit.getLocationAbilities(String, Turn)",15
net.sf.freecol.common.model.Unit.getLocationLabel(),3
net.sf.freecol.common.model.Unit.getMaximumHitPoints(),6
net.sf.freecol.common.model.Unit.getMilitaryRole(),5
"net.sf.freecol.common.model.Unit.getMissionaryMoveType(Tile, Settlement)",7
net.sf.freecol.common.model.Unit.getMissionaryTradeModifiers(boolean),6
"net.sf.freecol.common.model.Unit.getModifiers(String, FreeColSpecObjectType, Turn)",3
net.sf.freecol.common.model.Unit.getMoveCost(Tile),10
"net.sf.freecol.common.model.Unit.getMoveCost(Tile, Tile, int)",14
net.sf.freecol.common.model.Unit.getMoveType(Direction),6
net.sf.freecol.common.model.Unit.getMoveType(Tile),7
"net.sf.freecol.common.model.Unit.getMoveType(Tile, Tile, int)",9
net.sf.freecol.common.model.Unit.getMovesAsString(),5
net.sf.freecol.common.model.Unit.getMovesLeft(),5
net.sf.freecol.common.model.Unit.getName(),5
net.sf.freecol.common.model.Unit.getNationality(),9
"net.sf.freecol.common.model.Unit.getNavalMoveType(Tile, Tile)",8
net.sf.freecol.common.model.Unit.getNeededTurnsOfTraining(),9
net.sf.freecol.common.model.Unit.getNeighbourTile(String),7
net.sf.freecol.common.model.Unit.getNoAddReason(Locatable),3
"net.sf.freecol.common.model.Unit.getOccupationLabel(Player, boolean)",8
net.sf.freecol.common.model.Unit.getOwner(),3
"net.sf.freecol.common.model.Unit.getPathComparator(Location, Unit, CostDecider)",9
net.sf.freecol.common.model.Unit.getPathStartLocation(),8
net.sf.freecol.common.model.Unit.getPioneerScore(),10
net.sf.freecol.common.model.Unit.getPriority(),3
net.sf.freecol.common.model.Unit.getProductionInfo(List<AbstractGoods>),8
net.sf.freecol.common.model.Unit.getRank(),3
net.sf.freecol.common.model.Unit.getRepairLabel(),5
net.sf.freecol.common.model.Unit.getRepairLocation(),7
net.sf.freecol.common.model.Unit.getRole(),5
net.sf.freecol.common.model.Unit.getRoleCount(),5
net.sf.freecol.common.model.Unit.getRoleSuffix(),6
net.sf.freecol.common.model.Unit.getSailTurns(),5
net.sf.freecol.common.model.Unit.getScoreValue(),7
net.sf.freecol.common.model.Unit.getScoutScore(),11
net.sf.freecol.common.model.Unit.getSettlement(),3
net.sf.freecol.common.model.Unit.getSimpleMoveType(Direction),7
net.sf.freecol.common.model.Unit.getSimpleMoveType(Tile),9
"net.sf.freecol.common.model.Unit.getSimpleMoveType(Tile, Tile)",10
net.sf.freecol.common.model.Unit.getSkillLevel(),6
net.sf.freecol.common.model.Unit.getSortedMilitaryRoles(),6
net.sf.freecol.common.model.Unit.getSpaceLeft(),5
net.sf.freecol.common.model.Unit.getSpaceTaken(),3
net.sf.freecol.common.model.Unit.getState(),5
net.sf.freecol.common.model.Unit.getStop(),5
net.sf.freecol.common.model.Unit.getStudent(),5
net.sf.freecol.common.model.Unit.getTeacher(),5
net.sf.freecol.common.model.Unit.getTeachingType(Unit),6
net.sf.freecol.common.model.Unit.getTeachingType(UnitType),8
net.sf.freecol.common.model.Unit.getTile(),3
net.sf.freecol.common.model.Unit.getTradeLocation(),5
net.sf.freecol.common.model.Unit.getTradeMoveType(Settlement),7
net.sf.freecol.common.model.Unit.getTradeRoute(),5
net.sf.freecol.common.model.Unit.getTransportFee(),6
net.sf.freecol.common.model.Unit.getTreasureAmount(),7
net.sf.freecol.common.model.Unit.getTrivialPath(),6
net.sf.freecol.common.model.Unit.getTurnsForRepair(),5
net.sf.freecol.common.model.Unit.getTurnsOfTraining(),8
net.sf.freecol.common.model.Unit.getTurnsToReach(Location),9
"net.sf.freecol.common.model.Unit.getTurnsToReach(Location, Location)",10
"net.sf.freecol.common.model.Unit.getTurnsToReach(Location, Location, Unit, CostDecider)",13
net.sf.freecol.common.model.Unit.getType(),5
net.sf.freecol.common.model.Unit.getUnitChange(String),7
"net.sf.freecol.common.model.Unit.getUnitChange(String, UnitType)",8
"net.sf.freecol.common.model.Unit.getUnitChange(String, UnitType, Player)",9
"net.sf.freecol.common.model.Unit.getUnitDestinationLabel(String, Location, Player)",8
net.sf.freecol.common.model.Unit.getUnitSkillLevel(UnitType),7
net.sf.freecol.common.model.Unit.getUnitSpaceTaken(),5
net.sf.freecol.common.model.Unit.getVisibleGoodsCount(),5
net.sf.freecol.common.model.Unit.getVisibleTileSet(),5
net.sf.freecol.common.model.Unit.getWorkImprovement(),5
net.sf.freecol.common.model.Unit.getWorkLeft(),5
net.sf.freecol.common.model.Unit.getWorkLocation(),5
net.sf.freecol.common.model.Unit.getWorkTile(),5
net.sf.freecol.common.model.Unit.getWorkTurnsLeft(),5
net.sf.freecol.common.model.Unit.getWorkType(),5
net.sf.freecol.common.model.Unit.getXMLTagName(),3
net.sf.freecol.common.model.Unit.goingToDestination(),8
net.sf.freecol.common.model.Unit.hasCargo(),5
net.sf.freecol.common.model.Unit.hasDefaultRole(),5
net.sf.freecol.common.model.Unit.hasGoodsCargo(),5
net.sf.freecol.common.model.Unit.hasNativeEthnicity(),5
net.sf.freecol.common.model.Unit.hasSpaceLeft(),5
net.sf.freecol.common.model.Unit.hasTile(),5
net.sf.freecol.common.model.Unit.initialize(),3
net.sf.freecol.common.model.Unit.invalidateCache(),3
net.sf.freecol.common.model.Unit.isArmed(),5
net.sf.freecol.common.model.Unit.isAtLocation(Location),6
net.sf.freecol.common.model.Unit.isAtSea(),6
net.sf.freecol.common.model.Unit.isBeached(),5
net.sf.freecol.common.model.Unit.isBeached(Tile),6
net.sf.freecol.common.model.Unit.isCandidateForNextActiveUnit(),8
net.sf.freecol.common.model.Unit.isCarrier(),5
net.sf.freecol.common.model.Unit.isColonist(),6
net.sf.freecol.common.model.Unit.isDamaged(),0
net.sf.freecol.common.model.Unit.isDamagedAndUnderForcedRepair(),5
net.sf.freecol.common.model.Unit.isDefensiveUnit(),16
net.sf.freecol.common.model.Unit.isInColony(),5
"net.sf.freecol.common.model.Unit.isInDanger(int, float)",9
net.sf.freecol.common.model.Unit.isInEurope(),6
net.sf.freecol.common.model.Unit.isInMission(),5
net.sf.freecol.common.model.Unit.isMounted(),5
net.sf.freecol.common.model.Unit.isNaval(),5
